row_id,startdate,name,enddate,description,page_url,location.name,offers.validfrom,offers.pricecurrency,offers.name,offers.availability,offers.price
13827,2020-10-14T10:00:00,Coffee Chat with Elections Director Bryan Caskey and leaders from the Kansas Veterans Community,2020-10-14T10:30:00,"THIS IS NOT THE STATE REPORTING TEMPLATE {Enter your event description here} {Once you have completed the event creation process, go to the Details tab Event",https://local.aarp.org/aarp-event/aarp-ks-coffee-chat-with-elections-director-bryan-caskey-and-leaders-from-the-kansas-veterans-community-topeka-ks-10142020-3gnrk68syml.html,,2020-10-14T10:00:00,USD,Coffee Chat with Elections Director Bryan Caskey and leaders from the Kansas Veterans Community,https://schema.org/InStock,0.0
13828,2020-08-29T09:00:00,Newport Farmer's Market,2020-08-29T13:00:00,"Season: Summer Market Hours: May 16, 2020 - October 2020Wednesdays and Saturdays, 9 AM - 1 PM Location:334 Prospect Avenue, next to the Newport Community",https://local.aarp.org/event/newport-farmers-market-2020-08-29-newport-tn.html,Newport Farmer's Market,2020-08-29T09:00:00,USD,Newport Farmer's Market,https://schema.org/InStock,0.0
13829,2020-11-21T10:00:00,Chatham Mills Farmers' Market,2020-11-21T13:00:00,"Season:Winter Market Hours: November 2020 - January 2021Saturdays, 10AM - 1PM Location:Historic Chatham Mills in downtown Pittsboro, NC",https://local.aarp.org/event/chatham-mills-farmers-market-2020-11-21-pittsboro-nc.html,Historic Chatham Mill,2020-11-21T10:00:00,USD,Chatham Mills Farmers' Market,https://schema.org/InStock,0.0
13830,2020-11-04T08:00:00,Muskogee Farmers' Market,2020-11-04T13:00:00,"Season:Year Round Market Hours:Saturdays, 8 am - 12 pmWednesdays, 8 am - 1 pm Location:425 West Okmulgee Avenue",https://local.aarp.org/event/muskogee-farmers-market-2020-11-04-muskogee-ok.html,Civic Center Market Square,2020-11-04T08:00:00,USD,Muskogee Farmers' Market,https://schema.org/InStock,0.0
13831,2020-08-29T00:00:00,Exhibition - All In A Day's Work,2020-08-29T23:59:00,,https://local.aarp.org/event/exhibition-all-in-a-days-work-2020-08-29-sacramento-ca.html,Exhibition - All In A Day's Work,2020-08-29T00:00:00,USD,Exhibition - All In A Day's Work,https://schema.org/InStock,0.0
13832,2020-11-21T09:00:00,Brain Injury and Stroke Support Group,,"Emotional and practical help to put the pieces back together after brain injury or stroke. Informal, fun meeting over breakfast (buy your own). Contact Jim",https://local.aarp.org/event/brain-injury-and-stroke-support-group-2020-11-21-missoula-mt.html,Black Cat Bake Shop,2020-11-21T09:00:00,USD,Brain Injury and Stroke Support Group,https://schema.org/InStock,0.0
13833,2020-09-18T12:00:00,Columbia Pacific Farmer's Market,2020-09-18T17:00:00,"Season: SummerMarket Hours: June 5, 2020 - September 18, 2020Fridays, 12PM - 5PMLocation:111 3rd Street SE",https://local.aarp.org/event/columbia-pacific-farmers-market-2020-09-18-long-beach-wa.html,Columbia Pacific Farmer's Market,2020-09-18T12:00:00,USD,Columbia Pacific Farmer's Market,https://schema.org/InStock,0.0
13834,2020-10-24T08:00:00,Santa Monica Saturday Downtown Farmers' Market,2020-10-24T13:00:00,"Season: Year Round Market Hours: Saturdays, 8AM - 1PMLocation: Arizona Avenue (between 4th and 2nd Streets), Santa Monica, CA",https://local.aarp.org/event/santa-monica-saturday-downtown-farmers-market-2020-10-24-santa-monica-ca.html,Santa Monica Saturday Downtown Farmers' Market,2020-10-24T08:00:00,USD,Santa Monica Saturday Downtown Farmers' Market,https://schema.org/InStock,0.0
13835,2020-10-04T10:00:00,Gem Faire,2020-10-04T17:00:00,"Gem Faire is one of the largest gem, jewelry and bead shows in the United States. With nearly 50 shows a year, Gem Faire brings to the west coast, and some",https://local.aarp.org/event/gem-faire-2020-10-04-sacramento-ca.html,Scottish Rite Center,2020-10-04T10:00:00,USD,Gem Faire,https://schema.org/InStock,0.0
13836,2020-09-10T08:00:00,Bedford Farmers Market,2020-09-10T19:30:00,"Season: Year Round Market Hours: Monday, Thursday, Friday and Saturdays, 8:00 am - 7:30 pmTuesday and Wednesday, 8am - 7pmSundays, 10:00 am - 6:00 pm",https://local.aarp.org/event/bedford-farmers-market-2020-09-10-bedford-tx.html,Bedford Farmers Market,2020-09-10T08:00:00,USD,Bedford Farmers Market,https://schema.org/InStock,0.0
13837,2020-10-15T15:00:00,Core Strength and Weight Training Class,2020-10-15T16:00:00,"This class focuses on strengthening the core muscles such as the back, abdominals, and hips. This is an excellent class for those with low back pain. In",https://local.aarp.org/event/core-strength-and-weight-training-class-2020-10-15-moscow-id.html,Martin Wellness Center,2020-10-15T15:00:00,USD,Core Strength and Weight Training Class,https://schema.org/InStock,0.0
13838,2021-07-17T20:00:00,David Gray - White Ladder:The 20th Anniversary Tour,,David Gray - White Ladder:The 20th Anniversary Tour,https://local.aarp.org/event/david-gray-white-ladderthe-20th-anniversary-tour-2021-07-17-tm-cleveland-oh.html,Jacobs Pavilion at Nautica (formerly Nautica Pavilion),2021-07-17T20:00:00,USD,David Gray - White Ladder:The 20th Anniversary Tour,https://schema.org/InStock,0.0
13839,2020-09-24T15:00:00,De Pere Farmer Market,2020-09-24T19:00:00,"Season: Summer Market Hours: June 18, 2020 September 24, 2020 Thursdays, 3:00 pm 8:00 pm (7 pm in Septembet) Location:101 North Broadway",https://local.aarp.org/event/de-pere-farmer-market-2020-09-24-de-pere-wi.html,De Pere Farmer Market,2020-09-24T15:00:00,USD,De Pere Farmer Market,https://schema.org/InStock,0.0
13840,2020-10-10T06:00:00,Detroit Eastern Market,2020-10-10T16:00:00,"Attending our Saturday Market is an experience that is undeniably Detroit. Over 225market vendors share their produce and stories with up to 40,000 visitors",https://local.aarp.org/event/detroit-eastern-market-2020-10-10-detroit-mi.html,Detroit Eastern Market,2020-10-10T06:00:00,USD,Detroit Eastern Market,https://schema.org/InStock,0.0
13841,2020-09-24T19:00:00,Esther – A Dazzling Musical Comedy,,The biblical book of Esther explodes with rollicking hilarity as the evil Haman schemes to outwit bumbling King Xerxes for control of the Persian empire. With,https://local.aarp.org/event/esther-a-dazzling-musical-comedy-2020-09-24-redlands-ca.html,LifeHouse Theater,2020-09-24T19:00:00,USD,Esther – A Dazzling Musical Comedy,https://schema.org/InStock,0.0
13842,2020-12-18T19:30:00,Evita,,"Eva Peron is from the wrong side of the tracks. But she aint stayin there long. Shes on a one-way trajectory, and that one way is up. If she has to kick a few",https://local.aarp.org/event/evita-2020-12-18-raleigh-nc.html,The Murphey School Auditorium,2020-12-18T19:30:00,USD,Evita,https://schema.org/InStock,0.0
13843,2021-07-12T10:00:00,Exhibition - Andrew Wyeth: Five Decades,2021-07-12T17:30:00,"Forum Gallery, New York, presents an exhibition of works by Andrew Wyeth (1917-2009), who set the standard for American figurative art in the second half of",https://local.aarp.org/event/exhibition-andrew-wyeth-five-decades-2021-07-12-new-york-ny.html,Forum Gallery,2021-07-12T10:00:00,USD,Exhibition - Andrew Wyeth: Five Decades,https://schema.org/InStock,0.0
13844,2020-10-11T12:00:00,"Exhibition - Buddha and Shiva, Lotus and Dragon",2020-10-11T16:00:00,"This exhibition will present 67 masterpieces collected by John D. Rockefeller III (19061978) and his wife Blanchette ****** Rockefeller (19091992),",https://local.aarp.org/event/exhibition-buddha-and-shiva-lotus-and-dragon-2020-10-11-jacksonville-fl.html,Cummer Museum of Art and Gardens,2020-10-11T12:00:00,USD,"Exhibition - Buddha and Shiva, Lotus and Dragon",https://schema.org/InStock,0.0
13845,2021-07-27T11:00:00,Exhibition - Innovation and Imagination,2021-07-27T21:00:00,Innovation and Imagination: The Global Dialogue in Mid to Late 20th Century Art Despite the fact that the center of the art world shifted from Paris to New,https://local.aarp.org/event/exhibition-innovation-and-imagination-2021-07-27-jacksonville-fl.html,Cummer Museum of Art and Gardens,2021-07-27T11:00:00,USD,Exhibition - Innovation and Imagination,https://schema.org/InStock,0.0
13846,2020-10-26T22:30:00,Fantasy,,Fantasy,https://local.aarp.org/event/fantasy-2020-10-26-tm-las-vegas-nv.html,Atrium Showroom at Luxor Hotel and Casino Las Vegas,2020-10-26T22:30:00,USD,Fantasy,https://schema.org/InStock,0.0
13847,2020-12-07T20:00:00,Fast Times,,Fast Times,https://local.aarp.org/event/fast-times-2020-12-07-tm-west-hollywood-ca.html,Whisky A Go Go,2020-12-07T20:00:00,USD,Fast Times,https://schema.org/InStock,0.0
13848,2020-10-27T09:00:00,Free Blood Pressure Screenings,2020-10-27T10:00:00,Location: MountainView Hospital - H2U Suite 114,https://local.aarp.org/event/free-blood-pressure-screenings-2020-10-27-las-vegas-nv.html,MountainView Hospital Medical Office Building,2020-10-27T09:00:00,USD,Free Blood Pressure Screenings,https://schema.org/InStock,0.0
13849,2020-09-23T16:00:00,Glenwood Iowa Fresh and Local Farmer's Market,2020-09-23T19:00:00,"Season:Summer Market Hours: June 24, 2020 - October 28, 2020Wednesdays, 4pm - 7pm Location:Westside of Courthouse Lawn",https://local.aarp.org/event/glenwood-iowa-fresh-and-local-farmers-market-2020-09-23-glenwood-ia.html,Glenwood Iowa Fresh and Local Farmer's Market,2020-09-23T16:00:00,USD,Glenwood Iowa Fresh and Local Farmer's Market,https://schema.org/InStock,0.0
13850,2020-10-10T07:00:00,Green City Market at Lincoln Park,2020-10-10T13:00:00,"Outdoor Season: Green City Market Lincoln Park: May 2 - October 31, 2020Wednesdays and Saturdays, 7AM - 1PMLocation: The Chicago Green City Market's Lincoln",https://local.aarp.org/event/green-city-market-at-lincoln-park-2020-10-10-chicago-il.html,Green City Market at Lincoln Park,2020-10-10T07:00:00,USD,Green City Market at Lincoln Park,https://schema.org/InStock,0.0
13851,2020-10-06T16:00:00,Greene County Farmers Market,2020-10-06T18:30:00,"Season: Year Round Market Hours:January 1 - December 31, 2020Tuesdays, 4PM - 6:30PM Location:East side of the Courthouse Square, 129 N Chestnut Street",https://local.aarp.org/event/greene-county-farmers-market-2020-10-06-jefferson-ia.html,Greene County Farmers Market,2020-10-06T16:00:00,USD,Greene County Farmers Market,https://schema.org/InStock,0.0
13852,2020-09-26T09:30:00,GriefShare Grief Recovery Support Group,2020-09-26T12:00:00,Social distancing and masks required. Limited capacity due to COVID requirements. Contact: 520-296-8501 Meeting room: Family LIfe Center Room 201,https://local.aarp.org/event/griefshare-grief-recovery-support-group-2020-09-26-tucson-az.html,Christ Community Church,2020-09-26T09:30:00,USD,GriefShare Grief Recovery Support Group,https://schema.org/InStock,0.0
13853,2021-01-07T18:00:00,GriefShare Grief Recovery Support Group,2021-01-07T20:00:00,We would love to have you join us for Griefshare. Please feel free to email or call with any questions you might have. Contact:562-429-2397 Meeting room:Room A,https://local.aarp.org/event/griefshare-grief-recovery-support-group-2021-01-07-hawaiian-gardens-ca.html,The Gathering Church,2021-01-07T18:00:00,USD,GriefShare Grief Recovery Support Group,https://schema.org/InStock,0.0
13854,2020-09-17T06:00:00,Group Strength,2020-09-17T06:50:00,"A strength training program specifically designed for the group exercise participant. This class uses Power Cut Bars, resistance tubing, medicine balls,",https://local.aarp.org/event/group-strength-2020-09-17-newport-news-va.html,Riverside Wellness and Fitness Center - Peninsula,2020-09-17T06:00:00,USD,Group Strength,https://schema.org/InStock,0.0
13855,2020-12-28T19:00:00,Hamilton (NY),,Hamilton (NY),https://local.aarp.org/event/hamilton-ny-2020-12-28-tm-new-york-ny.html,Richard Rodgers Theatre,2020-12-28T19:00:00,USD,Hamilton (NY),https://schema.org/InStock,0.0
13856,2021-07-27T19:30:00,Herb Alpert & Lani Hall,,Herb Alpert & Lani Hall,https://local.aarp.org/event/herb-alpert-lani-hall-2021-07-27-tm-alexandria-va.html,Birchmere,2021-07-27T19:30:00,USD,Herb Alpert & Lani Hall,https://schema.org/InStock,0.0
13857,2020-12-24T08:00:00,High Desert Farmers Market,2020-12-24T12:00:00,"Season: Year Round Market Hours: Thursdays, 8AM - 12PMLocation: 18422 Bear Valley Road, Victorville, CA",https://local.aarp.org/event/high-desert-farmers-market-2020-12-24-victorville-ca.html,High Desert Farmers Market,2020-12-24T08:00:00,USD,High Desert Farmers Market,https://schema.org/InStock,0.0
13858,2020-10-24T07:00:00,Jacksonville Farmers Market,2020-10-24T12:00:00,"Season: Summer and Fall Market Hours:May 2 - October 24, 2020Tuesday, Thursday and Saturdays, 7AM - 12PM Location:Lincoln Square Shopping Center,901 West",https://local.aarp.org/event/jacksonville-farmers-market-2020-10-24-jacksonville-il.html,Lincoln Square Shopping Center,2020-10-24T07:00:00,USD,Jacksonville Farmers Market,https://schema.org/InStock,0.0
13859,2020-11-11T07:00:00,Jacksonville Farmers' Market,2020-11-11T17:00:00,"Season: Year Round Market Hours: Everyday, 7AM - 5PMLocation:1810 West Beaver Street",https://local.aarp.org/event/jacksonville-farmers-market-2020-11-11-jacksonville-fl.html,Jacksonville Farmers' Market,2020-11-11T07:00:00,USD,Jacksonville Farmers' Market,https://schema.org/InStock,0.0
13860,2020-10-18T09:00:00,Kensington Farmers' Market,2020-10-18T14:00:00,"Season: Year Round Market Hours: Every Sundays, 9AM - 2PMLocation: Oakview Avenue between Colusa Circle and Santa Fe Avenue in Kensington, CA",https://local.aarp.org/event/kensington-farmers-market-2020-10-18-kensington-ca.html,Kensington Farmers' Market,2020-10-18T09:00:00,USD,Kensington Farmers' Market,https://schema.org/InStock,0.0
13861,2020-12-30T16:00:00,Lake Forest Certified Farmers’ Market,2020-12-30T20:00:00,"Season: Year Round Market Hours:Wednesdays, 4:00 pm to 8:00 pm.Location: Lake Forest Sports Park Recreation Center, 28000 Rancho Parkway.",https://local.aarp.org/event/lake-forest-certified-farmers-market-2020-12-30-lake-forest-ca.html,Lake Forest Sports Park Commons Area,2020-12-30T16:00:00,USD,Lake Forest Certified Farmers’ Market,https://schema.org/InStock,0.0
13862,2020-12-12T09:00:00,Las Vegas Farmers Market,2020-12-12T14:00:00,"Season: Year Round Market Hour: Downtown Summerlin Saturdays, 9:00 AM - 2:00 PM Location:1870 Festival Plaza Drive, Las Vegas NV 89135",https://local.aarp.org/event/las-vegas-farmers-market-2020-12-12-las-vegas-nv.html,Las Vegas Farmers Market,2020-12-12T09:00:00,USD,Las Vegas Farmers Market,https://schema.org/InStock,0.0
13863,2020-11-20T18:30:00,Marshall A.A. Group,,This meeting is closed; only those who have a desire to stop drinking may attend. Step Study,https://local.aarp.org/event/marshall-aa-group-2020-11-20-marshall-mn.html,St. Stephens Lutheran Church,2020-11-20T18:30:00,USD,Marshall A.A. Group,https://schema.org/InStock,0.0
13864,2020-12-10T19:00:00,Mat Franco - Magic Reinvented Nightly,,Mat Franco - Magic Reinvented Nightly,https://local.aarp.org/event/mat-franco-magic-reinvented-nightly-2020-12-10-tm-las-vegas-nv.html,Mat Franco Theater at The Linq,2020-12-10T19:00:00,USD,Mat Franco - Magic Reinvented Nightly,https://schema.org/InStock,0.0
13865,2020-09-22T17:30:00,Mindful Meditation,2020-09-22T18:30:00,Come and de-stress with Guided Meditation. Location:Suite 103 Contact:805/667-2818 orhealthaware@cmhshealth.org,https://local.aarp.org/event/mindful-meditation-2020-09-22-ventura-ca.html,Community Memorial Health System - HealthAware,2020-09-22T17:30:00,USD,Mindful Meditation,https://schema.org/InStock,0.0
13866,2020-10-03T08:00:00,Monett Farmers Market,2020-10-03T12:00:00,"Season: Summer Market Hours: June 6 - October, 2020Saturdays, 8AM - 12PM Location: Jerry D. Hall pavilion, 490 East Front Street",https://local.aarp.org/event/monett-farmers-market-2020-10-03-monett-mo.html,Jerry D. Hall Pavilion,2020-10-03T08:00:00,USD,Monett Farmers Market,https://schema.org/InStock,0.0
13867,2020-10-16T19:30:00,My Fair Lady,,My Fair Lady,https://local.aarp.org/event/my-fair-lady-2020-10-16-tm-saint-louis-mo.html,Fabulous Fox Theatre - St. Louis,2020-10-16T19:30:00,USD,My Fair Lady,https://schema.org/InStock,0.0
13868,2021-02-17T19:30:00,My Fair Lady,,My Fair Lady,https://local.aarp.org/event/my-fair-lady-2021-02-17-tm-costa-mesa-ca.html,Segerstrom Center for the Arts-Segerstrom Hall,2021-02-17T19:30:00,USD,My Fair Lady,https://schema.org/InStock,0.0
13869,2020-12-12T07:00:00,New Smyrna Beach Farmers' Market,2020-12-12T12:00:00,"Season: Year Round Market Hours: Saturdays, 7AM - 12PM Location: 210 Sams Avenue",https://local.aarp.org/event/new-smyrna-beach-farmers-market-2020-12-12-new-smyrna-beach-fl.html,New Smyrna Beach Farmers' Market,2020-12-12T07:00:00,USD,New Smyrna Beach Farmers' Market,https://schema.org/InStock,0.0
13870,2020-09-17T11:00:00,Oakland International Film Festival,,"OIFF18 adds to The Oakland International Film Festivals 68 films, a vision called Familyhood, to re-stitch Americas fabric of democracy and a new method of",https://local.aarp.org/event/oakland-international-film-festival-2020-09-17-1-oakland-ca.html,Oakland International Film Festival,2020-09-17T11:00:00,USD,Oakland International Film Festival,https://schema.org/InStock,0.0
13871,2020-12-19T09:00:00,Overeaters Anonymous Support Group,,"Location:Ellis Conference Room at York Hospital For more information, please call (603) 433-5464.",https://local.aarp.org/event/overeaters-anonymous-support-group-2020-12-19-york-me.html,York Hospital,2020-12-19T09:00:00,USD,Overeaters Anonymous Support Group,https://schema.org/InStock,0.0
