ac,uc,ws,cm,emc,df,vt,tlc,is_subject_role,
0,1,0,0,0,0,3.417218543,1.455629139,1,10151359_0_8168779773862259178
0,1,0,0,0,1,2.264900662,0.30790287,0,10151359_0_8168779773862259178
0,1,0,0,0,0,1.258278146,0,0,10151359_0_8168779773862259178
0,1,0,0,0.047619048,0,1,0,0,10579449_0_1681126353774891032
0,1,0,0,0,0,2,0.89047619,1,10579449_0_1681126353774891032
0,1,0,0,0.047619048,0,1,0,0,10579449_0_1681126353774891032
0,1,0,0,0,0,1,0,1,10630177_0_4831842476649004753
0,1,0,0,1,0,1,0,0,10630177_0_4831842476649004753
0,1,0,0,0,0,4.16,3.643190955,0,10630177_0_4831842476649004753
0,1,0,0,0,1,1.31,0.341708543,0,10630177_0_4831842476649004753
0,1,0,0,0,0,1,0,0,10630177_0_4831842476649004753
0,1,0,0,0,0,2,0,0,10630177_0_4831842476649004753
0,1,0,0,0.02,0,1,0,0,10630177_0_4831842476649004753
0,1,0,0,0,0,1,0,1,11278409_0_3742771475298785475
0,1,0,0,0,0,1.538834951,0.367700687,0,11278409_0_3742771475298785475
0,1,0,0,0,1,2.04368932,0.520033152,0,11278409_0_3742771475298785475
0,1,0,0,0,0,1,0,0,11278409_0_3742771475298785475
0,1,0,0,0,0,1,0,0,11278409_0_3742771475298785475
0,1,0,0,0,0,1.91627907,0.367007172,1,1146722_1_7558140036342906956
0,1,0,0,0,0,1,0,0,1146722_1_7558140036342906956
0,1,0,0,0,0,1,0,0,1146722_1_7558140036342906956
0,1,0,0,0,3,1,0.117235384,0,1146722_1_7558140036342906956
0,1,0,0,0,0,2.986046512,0,0,1146722_1_7558140036342906956
0,1,0,0,0,0,1,0,0,1146722_1_7558140036342906956
0,1,0,0,0,0,1,0,0,1146722_1_7558140036342906956
0,1,0,0,0,0,1.566523605,1.112586947,1,11599512_1_280388135214354946
0,1,0,0,0,1,1.510729614,0.558975877,0,11599512_1_280388135214354946
0,1,0,0,0,2,1.266094421,0.377164422,0,11599512_1_280388135214354946
0,1,0,0,0.0472103,3,1.115879828,0.210781412,0,11599512_1_280388135214354946
0,1,0,0,0.034334764,0,1.004291845,0,0,11599512_1_280388135214354946
0,1,0,0,0,0,1,0,1,11688006_0_8123036130090004213
0,1,0,0,0,0,1.29015544,0.273477979,0,11688006_0_8123036130090004213
0,1,0,0,0,0,1,0,0,11688006_0_8123036130090004213
0,1,0,0,0,0,1,0,0,11688006_0_8123036130090004213
0,1,0,0,0,0,1,0,0,11688006_0_8123036130090004213
0,1,0,0,0,0,1,0,0,11688006_0_8123036130090004213
0,1,0,0,0,0,1,0,0,11688006_0_8123036130090004213
0,1,0,0,0,0,4.030769231,3.008653846,1,11833461_1_3811022039809817402
0,1,0,0,0,1,1.215384615,0.19375,0,11833461_1_3811022039809817402
0,1,0,0,0,0,1,0,0,11833461_1_3811022039809817402
0,1,0,0,0,0,1,0,0,11833461_1_3811022039809817402
0,1,0,0,0,0,1,0,0,11833461_1_3811022039809817402
0,1,0,0,0,5,1,0,0,11833461_1_3811022039809817402
0,1,0,0,0,0,2,0,1,12125836_0_1134348206297032434
0,1,0,0,0,0,2.566666667,1.264367816,0,12125836_0_1134348206297032434
0,1,0,0,0,1,1.533333333,0.464367816,0,12125836_0_1134348206297032434
0,1,0,0,0,2,6.733333333,0.47816092,0,12125836_0_1134348206297032434
0,1,0,0,0,0,2.033333333,0,0,12125836_0_1134348206297032434
0,1,0,0,0.625,0,2.3125,0,0,12151277_0_1262954734066545952
0,1,0,0,0,0,3.75,0.383333333,1,12151277_0_1262954734066545952
0,1,0,0,0.25,1,2,1.533333333,0,12151277_0_1262954734066545952
0,1,0,0,0,0,1.267515924,0.258206761,1,12183399_0_6725061928072492226
0,1,0,0,0.031847134,0,1,0,0,12183399_0_6725061928072492226
0,1,0,0,0.044585987,0,1,0,0,12183399_0_6725061928072492226
0,1,0,0,0.012738854,3,2.171974522,0.254042136,0,12183399_0_6725061928072492226
0,1,0,0,0.006369427,0,1,0,0,12183399_0_6725061928072492226
0,1,0,0,0,0,1.125,0.112903226,1,12193237_0_8699643798888088574
0,1,0,0,0,1,1.0625,0.060483871,0,12193237_0_8699643798888088574
0,1,0,0,0,2,2.375,0.297379032,0,12193237_0_8699643798888088574
0,1,0,0,0,3,1.21875,0.240927419,0,12193237_0_8699643798888088574
0,1,0,0,0,0,1.586206897,0.39408867,1,12271141_0_8517913935669973086
