cluster number,tables,label
0,"['Book_1carpetcleaning.co.uk_September2020_CPA', 'Book_247creative.de_September2020_CPA', 'Book_7sat.co.uk_September2020_CPA', 'Book_abebooks.de_September2020_CPA', 'Book_act1diabetes.org_September2020_CPA', 'Book_albertflynndesilver.com_September2020_CPA', 'Book_allncertsolutions.com_September2020_CPA', 'Book_auth-e83.co.uk_September2020_CPA', 'Book_avalontravelbooks.com_September2020_CPA', 'Book_babellibros.com_September2020_CPA', 'Book_balibrary.org_September2020_CPA', 'Book_belgiqueloisirs.be_September2020_CPA', 'Book_belmont.wa.gov.au_September2020_CPA', 'Book_isach.info_September2020_CPA', 'Event_25tickets.com_September2020_CPA', 'Event_313cafe.com_September2020_CPA', 'Event_887theriver.ca_September2020_CPA', 'Event_aaronjonahlewis.com_September2020_CPA', 'Event_aboriginalbuzz.com_September2020_CPA', 'Event_abundancenc.org_September2020_CPA', 'Event_accessallareas.org_September2020_CPA', 'Event_acchamber.com_September2020_CPA', 'Event_activetrainingnetwork.com_September2020_CPA', 'Event_actsonline.net_September2020_CPA', 'Event_adaptmovement.org_September2020_CPA', 'Event_adconserve.org_September2020_CPA', 'Event_adelpartners.org_September2020_CPA', 'Event_adelsheim.de_September2020_CPA', 'Event_admraceway.ru_September2020_CPA', 'Event_ammp.studio_September2020_CPA', 'Event_anacortes.org_September2020_CPA', 'Event_apqs.com_September2020_CPA', 'Hotel_airasiago.com.my_September2020_CPA', 'Hotel_anyplace.com_September2020_CPA', 'LocalBusiness_billighaandvaerker.dk_September2020_CPA', 'LocalBusiness_billingschamber.com_September2020_CPA', 'LocalBusiness_blackforestgourmet.co.nz_September2020_CPA', 'LocalBusiness_blacknet.co.uk_September2020_CPA', 'Movie_209.97.170.87_September2020_CPA', 'Movie_4688v6r.cn_September2020_CPA', 'Movie_arrekade.com.br_September2020_CPA', 'Movie_aventrix.com_September2020_CPA', 'Movie_awwrated.com_September2020_CPA', 'Movie_bcdb.com_September2020_CPA', 'Movie_bestnetflixmovies.com_September2020_CPA', 'Movie_bingedb.com_September2020_CPA', 'Movie_bollyviews.com_September2020_CPA', 'Movie_cinemasmack.com_September2020_CPA', 'Movie_cinemoviestudio.com_September2020_CPA', 'Movie_corona21.online_September2020_CPA', 'Movie_criticker.com_September2020_CPA', 'MusicAlbum_23rdprecinct.net_September2020_CPA', 'MusicAlbum_7s7.org_September2020_CPA', 'MusicAlbum_alldbx.ru_September2020_CPA', 'MusicAlbum_amdb.co_September2020_CPA', 'MusicAlbum_anjunabeats.com_September2020_CPA', 'MusicAlbum_aventrix.com_September2020_CPA', 'MusicAlbum_avishaicohen.com_September2020_CPA', 'MusicAlbum_awilshiremusic.com_September2020_CPA', 'MusicAlbum_bleep.com_September2020_CPA', 'MusicAlbum_celebri.com_September2020_CPA', 'MusicAlbum_club.be_September2020_CPA', 'MusicAlbum_deathbedtapes.com_September2020_CPA', 'MusicAlbum_djslimk.com_September2020_CPA', 'MusicAlbum_ellenmandel.com_September2020_CPA', 'MusicAlbum_esqmusic.com_September2020_CPA', 'MusicAlbum_harmoniamundi.com_September2020_CPA', 'MusicAlbum_herokuapp.com_September2020_CPA', 'MusicAlbum_hollowaytapes.com_September2020_CPA', 'MusicAlbum_jakeauerbachfilms.com_September2020_CPA', 'MusicAlbum_jamesnarrates.com_September2020_CPA', 'MusicAlbum_josephschwantner.com_September2020_CPA', 'MusicAlbum_lapanchitarecords.com_September2020_CPA', 'Person_federatedinvestors.com_September2020_CPA', 'Person_finfeed.com_September2020_CPA', 'Person_fitzpatrickreferrals.co.uk_September2020_CPA', 'Person_fmbctx.com_September2020_CPA', 'Person_forem.dev_September2020_CPA', 'Person_free-123movies.com_September2020_CPA', 'Person_free-putlockers.com_September2020_CPA', 'Person_fruitlogistica.de_September2020_CPA', 'Person_galleriacontinua.com_September2020_CPA', 'Person_garrettinsurance.com_September2020_CPA', 'Person_ggraindustryconference.com_September2020_CPA', 'Person_gibe.digital_September2020_CPA', 'Person_glassatwork.co.uk_September2020_CPA', 'Person_glueup.com_September2020_CPA', 'Person_gomovies-online.me_September2020_CPA', 'Place_asiaodyssey.com_September2020_CPA', 'Recipe_artistinresidencehome.com_September2020_CPA', 'Recipe_awesomewithsprinkles.com_September2020_CPA', 'Recipe_azuniatequila.com_September2020_CPA', 'Recipe_bakingdom.com_September2020_CPA', 'Recipe_ballarddesigns.com_September2020_CPA', 'TVEpisode_pakistandramas.com_September2020_CPA', 'TVEpisode_swatchseries.to_September2020_CPA', 'TVEpisode_turktv.ru_September2020_CPA', 'TVEpisode_umc.tv_September2020_CPA']",MusicAlbum
4,"['Book_aionianbible.org_September2020_CPA', 'Book_bapeten.go.id_September2020_CPA', 'Book_bayoupublishing.com_September2020_CPA', 'Event_abconcerts.be_September2020_CPA', 'Event_adjstyle.com_September2020_CPA', 'Event_annmontgomery.com.au_September2020_CPA', 'Hotel_aquaaston.com_September2020_CPA', 'Hotel_arenahotels.com_September2020_CPA', 'LocalBusiness_bidmycrib.com_September2020_CPA', 'LocalBusiness_biharad.com_September2020_CPA', 'LocalBusiness_biznearu.com.au_September2020_CPA', 'LocalBusiness_blacktopit.com_September2020_CPA', 'LocalBusiness_blogto.com_September2020_CPA', 'Movie_awardwinningadultmovies.com_September2020_CPA', 'Movie_cinecitta.de_September2020_CPA', 'MusicAlbum_kidzbites.com_September2020_CPA', 'Recipe_anotherfoodblogger.com_September2020_CPA', 'Recipe_artofnaturalliving.com_September2020_CPA', 'Recipe_atastefortravel.ca_September2020_CPA', 'Recipe_audreyslittlefarm.com_September2020_CPA', 'Recipe_auracacia.com_September2020_CPA', 'Recipe_australianeggs.org.au_September2020_CPA', 'Recipe_avengersinfinitywarfullmovie.de_September2020_CPA', 'Recipe_avocadosfrommexico.com_September2020_CPA', 'Recipe_awickedwhisk.com_September2020_CPA', 'Recipe_aziendanevola.it_September2020_CPA', 'Recipe_babyledweaningcookbook.com_September2020_CPA', 'Recipe_babysavers.com_September2020_CPA', 'Recipe_bakeitketo.com_September2020_CPA']",Recipe
5,"['Book_americanabookstore.com_September2020_CPA', 'Book_andrewisles.com_September2020_CPA', 'Book_antiquariatbotanicum.com_September2020_CPA', 'Book_archivesfinebooks.com.au_September2020_CPA', 'Book_artforum.sk_September2020_CPA', 'Book_asiabookroom.com_September2020_CPA', 'Book_atlantavintagebooks.com_September2020_CPA', 'Book_autorenwelt.de_September2020_CPA', 'Book_backintimerarebooks.com_September2020_CPA', 'Book_banneroftruth.org_September2020_CPA', 'Book_bartlebysbooks.com_September2020_CPA']",Book
9,"['Event_acspower.com_September2020_CPA', 'Event_aneventapart.com_September2020_CPA', 'Event_anth.org.uk_September2020_CPA', 'Event_aquilaboats.com_September2020_CPA']",Event
2,"['Hotel_30bencoolen.com.sg_September2020_CPA', 'Hotel_accommodationairliebeach.com_September2020_CPA', 'Hotel_alilahotels.com_September2020_CPA', 'Hotel_andermatt.ch_September2020_CPA', 'Hotel_apartamentoselbarrio.com_September2020_CPA', 'Hotel_apartmentsalantha.com_September2020_CPA', 'Hotel_arbathotel.ru_September2020_CPA', 'Hotel_asiapackagetravel.com_September2020_CPA', 'Hotel_bamabeachhouses.com_September2020_CPA', 'Hotel_beachesresortsparks.com_September2020_CPA', 'Hotel_beaune-borgonha.com_September2020_CPA', 'LocalBusiness_bicyclecapetown.org_September2020_CPA', 'LocalBusiness_bingj.com_September2020_CPA', 'Person_fcs.k12.in.us_September2020_CPA', 'Person_fgould.com_September2020_CPA', 'Place_afikomag.com_September2020_CPA', 'Place_aiacincinnati.org_September2020_CPA', 'Place_angelfireresort.com_September2020_CPA', 'Place_animalleague.org_September2020_CPA', 'Place_artsequator.com_September2020_CPA', 'Place_aucklandlive.co.nz_September2020_CPA', 'Place_audubonparkgardens.com_September2020_CPA', 'Place_barnsofrosehill.org_September2020_CPA', 'Place_benitalia.com_September2020_CPA', 'Place_berkeley.edu_September2020_CPA', 'Place_betterautorubber.com.au_September2020_CPA', 'Place_beverly-hanks.com_September2020_CPA', 'Place_bfloparks.org_September2020_CPA', 'Place_blufftonsc.com_September2020_CPA', 'Place_bnai-torah-colorado.org_September2020_CPA', 'Place_charlestonjazz.com_September2020_CPA']",Place
1,"['Hotel_4holiday.ro_September2020_CPA', 'Hotel_activtours.ro_September2020_CPA', 'Hotel_agatur.ro_September2020_CPA', 'Hotel_airantares.ro_September2020_CPA', 'Hotel_almatours.ro_September2020_CPA', 'Hotel_atlanticturism.com_September2020_CPA', 'Hotel_azarotravel.ro_September2020_CPA']",Hotel
7,"['LocalBusiness_bilsyn.info_September2020_CPA', 'Person_familjesidan.se_September2020_CPA', 'Person_famousdetails.com_September2020_CPA', 'Person_fbref.com_September2020_CPA', 'Person_festival-cannes.com_September2020_CPA', 'Person_fussballtransfers.com_September2020_CPA', 'Person_gametz.com_September2020_CPA', 'Person_genealogieonline.nl_September2020_CPA', 'Person_getfree.bet_September2020_CPA', 'Person_gli-sport.info_September2020_CPA']",Person
6,"['Movie_1123movies.to_September2020_CPA', 'Movie_aetv.com_September2020_CPA', 'Movie_anilist.co_September2020_CPA', 'Movie_anison.fm_September2020_CPA', 'Movie_barnesandnoble.com_September2020_CPA', 'Movie_brwmovies.com_September2020_CPA', 'Movie_cartoon8.tv_September2020_CPA', 'Movie_cinefun.co_September2020_CPA', 'Movie_cineman.ch_September2020_CPA', 'Movie_cinemarumah21.com_September2020_CPA', 'Movie_cineol.net_September2020_CPA', 'Movie_cinerotic.net_September2020_CPA', 'Movie_coffeehousetv.org_September2020_CPA', 'Movie_criterion.com_September2020_CPA', 'Movie_disney.com_September2020_CPA']",Movie
8,"['Movie_anzflix.site_September2020_CPA', 'Movie_blackcinema.xyz_September2020_CPA', 'Movie_cimaclubs.net_September2020_CPA', 'Movie_cineleven.com_September2020_CPA', 'Movie_dailymotionmovievids.com_September2020_CPA']",Movie
10,"['Person_erocam.biz_September2020_CPA', 'Person_eroticgirlsme.com_September2020_CPA', 'Person_escortsdirectoryeurope.com_September2020_CPA', 'Person_fapchatz.com_September2020_CPA']",Person
