0,1
"{41: ('11833461_1_3811022039809817402', '27466715_0_3913547177671701530')}","{0: ('10151359_0_8168779773862259178', '11833461_1_3811022039809817402')}"
"{88: ('11833461_1_3811022039809817402', '91959037_0_7907661684242014480')}","{0: ('10151359_0_8168779773862259178', '16767252_0_2409448375013995751')}"
"{145: ('11833461_1_3811022039809817402', '48944826_0_2321751364268052533')}","{0: ('10151359_0_8168779773862259178', '20135078_0_7570343137119682530')}"
"{169: ('11833461_1_3811022039809817402', '24142265_0_4577466141408796359')}","{0: ('10151359_0_8168779773862259178', '21362676_0_6854186738074119688')}"
"{170: ('11833461_1_3811022039809817402', '29414811_12_251152470253168163')}","{0: ('10151359_0_8168779773862259178', '21801207_0_8144839668470123042')}"
"{171: ('11833461_1_3811022039809817402', '29414811_13_8724394428539174350')}","{0: ('10151359_0_8168779773862259178', '22864497_0_8632623712684511496')}"
"{172: ('11833461_1_3811022039809817402', '29414811_2_4773219892816395776')}","{0: ('10151359_0_8168779773862259178', '25404227_0_2240631045609013057')}"
"{173: ('11833461_1_3811022039809817402', '29414811_6_8221428333921653560')}","{0: ('10151359_0_8168779773862259178', '35188621_0_6058553107571275232')}"
"{174: ('11833461_1_3811022039809817402', '46671561_0_6122315295162029872')}","{0: ('10151359_0_8168779773862259178', '36102169_0_7739454799295072814')}"
"{175: ('11833461_1_3811022039809817402', '57938705_0_8737506792349461963')}","{0: ('10151359_0_8168779773862259178', '38428277_0_1311643810102462607')}"
"{215: ('11833461_1_3811022039809817402', '4501311_8_8306082458935575308')}","{0: ('10151359_0_8168779773862259178', '39173938_0_7916056990138658530')}"
"{216: ('11833461_1_3811022039809817402', '73242003_5_4847571983313033360')}","{0: ('10151359_0_8168779773862259178', '47709681_0_4437772923903322343')}"
"{57: ('16767252_0_2409448375013995751', '40844462_1_6230938203735169234')}","{0: ('10151359_0_8168779773862259178', '50245608_0_871275842592178099')}"
"{70: ('16767252_0_2409448375013995751', '53822652_0_5767892317858575530')}","{0: ('10151359_0_8168779773862259178', '54719588_0_8417197176086756912')}"
"{57: ('20135078_0_7570343137119682530', '40844462_1_6230938203735169234')}","{0: ('10151359_0_8168779773862259178', '66329615_0_3585856495110277641')}"
"{70: ('20135078_0_7570343137119682530', '53822652_0_5767892317858575530')}","{0: ('10151359_0_8168779773862259178', '69881946_0_1105130426898457358')}"
"{57: ('21362676_0_6854186738074119688', '40844462_1_6230938203735169234')}","{0: ('10151359_0_8168779773862259178', '73988811_0_2775758476756716904')}"
"{70: ('21362676_0_6854186738074119688', '53822652_0_5767892317858575530')}","{0: ('10151359_0_8168779773862259178', '75367212_2_2745466355267233390')}"
"{41: ('21801207_0_8144839668470123042', '27466715_0_3913547177671701530')}","{0: ('10151359_0_8168779773862259178', '79966524_0_1484492112455633784')}"
"{88: ('21801207_0_8144839668470123042', '91959037_0_7907661684242014480')}","{0: ('10151359_0_8168779773862259178', '84548468_0_5955155464119382182')}"
"{145: ('21801207_0_8144839668470123042', '48944826_0_2321751364268052533')}","{0: ('10151359_0_8168779773862259178', '9475172_1_1023126399856690702')}"
"{169: ('21801207_0_8144839668470123042', '24142265_0_4577466141408796359')}","{0: ('10151359_0_8168779773862259178', '39759273_0_1427898308030295194')}"
"{170: ('21801207_0_8144839668470123042', '29414811_12_251152470253168163')}","{0: ('10151359_0_8168779773862259178', '58891288_0_1117541047012405958')}"
"{171: ('21801207_0_8144839668470123042', '29414811_13_8724394428539174350')}","{0: ('10151359_0_8168779773862259178', '77694908_0_6083291340991074532')}"
"{172: ('21801207_0_8144839668470123042', '29414811_2_4773219892816395776')}","{1: ('11833461_1_3811022039809817402', '16767252_0_2409448375013995751')}"
