cluster number,tables,label
0,"['Grant_SwissMachine-readable survey response data', 'Grant_UKRI-020322-TotalExpenditureNovember2021', 'Grant_UKRI-081121-TotalExpenditureAugust2021', 'Grant_UKRI-081121-TotalExpenditureSeptember2021', 'Higher_Education_UKtable-12', 'Higher_Education_UKtable-13', 'Higher_Education_UKtable-14', 'Higher_Education_USCollege_University', 'Higher_Education_USCollege_or_University__arcgis_rest_services_general_college_university_MapServer_0_', 'Higher_Education_USDetroit_Colleges_&_Universities', 'Higher_Education_US_City_University_of_New_York__CUNY__University_Enrollment_Trends__Beginning_Fall_1990', 'Higher_Education_US_City_University_of_New_York__CUNY__University_Retention_and_Graduation_Rates__Beginning_1990', 'Higher_Education_educational_attainment_supplementary_data', 'Higher_Education_shanghaiData', 'Landmarks_LPC_Ind_Landmarks_lots_100118', 'Landmarks_Landmark_Districts', 'Landmarks_Landmark_Districts(1)', 'Landmarks_Landmarks_Complaints', 'Landmarks_Local_Landmark', 'Landmarks_National_Landmark', 'Landmarks_melbourne_city_landmarks', 'Publication_NRC-peer-reviewed_2017_FT_csv', 'Publication_NRC_Publications_2015', 'Publication_NRC_publications_2012', 'Publication_nrc-peer-reviewed-publications-2018_fulltext', 'Publication_publications-csv', 'accident_Accidents', 'accident_air-accident-investigation-reports-by-date', 'accident_marine-accident-investigation-reports-by-date', 'accident_outpatient-attendances-a-e-socs-polyclinics-dental', 'accident_perteargentpublic-losspublicmoney-eng', 'accident_slqqldminingaccidents', 'actor_Film Actors With Most Movies', 'actor_Top 100 Greatest Hollywood Actors of All Time', 'actor_Top 100 Greatest Hollywood Actors of All Time 2', 'actor_actorfilms', 'actor_bond_girls', 'actor_database', 'actor_dicaprio', 'actor_robertdowneyjr', 'actor_the_oscar_award', 'game_Games', 'game_Video Games Sales', 'game_Windows_Games_List', 'game_all_games', 'game_game_info', 'game_game_sales_data', 'game_genre_region_totals', 'game_genre_totals', 'game_imdb-videogames', 'game_imdb_video_game_rating', 'game_steam_games', 'game_video-games-2022', 'game_video_game', 'game_year_genre_region', 'hotel_Tourism_Nova_Scotia_Fixed_Roof_Accommodations', 'hotel_Vacation_Rentals__Hotels__B_B__short-term_rentals_etc', 'hotel_hotels-properties', 'hotel_melbourne_and_metropolitan_hotels_pubs_and_publicans', 'hotel_victorian_hotels', 'incident_Crime_Incidents', 'incident_Fire_Incidents', 'incident_HPD_Crime_Incidents', 'incident_Historic_Incidents_2016_-_2019__Lines_', 'incident_Historic_Incidents_2016_-_2019__Points_', 'incident_MCFRS_Incidents_by_Station', 'incident_MCPD_Bias_Incidents', 'incident_Police_Incident_Reports_Written', 'movie_BollywoodActorRanking', 'movie_BollywoodDirectorRanking', 'movie_BollywoodMovieDetail', 'movie_IMDB Top 250 Movies', 'movie_TMBD Movie Dataset', 'movie_TMBD Movie Dataset 2', 'movie_amazon_prime_titles', 'movie_best_movie_by_year_netflix', 'movie_best_movies_netflix', 'movie_best_show_by_year_netflix', 'movie_best_shows_netflix', 'movie_imdb', 'movie_imdb 2', 'movie_imdb_top_1000', 'movie_marvel', 'movie_marvel_clean', 'movie_marvel_reviews', 'movie_marvel_reviews_clean', 'movie_netflix_titles', 'movie_raw_credits', 'movie_raw_titles', 'movie_rotten_tomatoes_movies', 'movie_tmdb_5000_movies', 'project_Aust_2000_to_2014_NSRC_grant_to_Institutions', 'project_Aust_2014_NSRC_grant_to_Institutions', 'project_Aust_research_project_granted_a_medical', 'project_Aust_research_project_granted_b_medical', 'project_Aust_research_project_granted_c_medical', 'project_Ontario Research Funded Project', 'project_Research Project', 'project_SwissMachine-readable survey response data', 'project_UKRI-020322-TotalExpenditureNovember2021', 'restaurant_BangaloreZomatoData', 'restaurant_Cuisine_rating', 'restaurant_DelhiNCR Restaurants', 'restaurant_FastFoodRestaurants', 'restaurant_Future50', 'restaurant_HyderabadResturants', 'restaurant_Independence100', 'restaurant_Kyoto_Restaurant_Info', 'restaurant_Restaurant names and Metadata', 'restaurant_Restaurant reviews', 'restaurant_Top250', 'restaurant_Zomato Chennai Listing 2020', 'restaurant_asia', 'restaurant_food_order', 'restaurant_geoplaces2', 'restaurant_michelin_star', 'restaurant_pizza_hut_locations', 'restaurant_restaurant-and-market-health-inspections', 'restaurant_restaurant-scores-lives-standard', 'restaurant_three-stars-michelin-restaurants', 'song_Spotify_final_dataset', 'song_data', 'song_playlists', 'vaccine_World_Vaccination_Progress', 'vaccine_country_vaccinations', 'vaccine_country_vaccinations_by_manufacturer', 'vaccine_italian_vaccination', 'vaccine_pakistan_time_series', 'vaccine_reddit_pfizer_vaccine', 'vaccine_reddit_vm', 'vaccine_us_state_vaccinations', 'vaccine_vaccination_tweets', 'vaccine_vaccine-preventable-disease-cases-by-county-and-year', 'vaccine_world_time_series']",movie
2,"['Grant_UKRI-070322-TotalExpenditureJanuary2022', 'Grant_UKRI-200921-TotalExpenditureJuly2021', 'Grant_UKRI-201022-TotalExpenditureAugust2022', 'accident_MDTA_Accidents', 'project_UKRI-070322-TotalExpenditureJanuary2022', 'project_UKRI-081121-TotalExpenditureAugust2021', 'project_UKRI-081121-TotalExpenditureSeptember2021', 'project_UKRI-200921-TotalExpenditureJuly2021', 'project_UKRI-201022-TotalExpenditureAugust2022']",project
1,"['Grant_UKRI-141022-TotalExpenditureJuly2022', 'Grant_UKRI-141022-TotalExpenditureJune2022', 'Grant_UKRI-230522-TotalExpenditureMarch2022', 'Grant_UKRI-231121-TotalExpenditureOctober2021', 'Grant_UKRITotal-Expenditure-February-2022', 'project_UKRI-141022-TotalExpenditureJuly2022', 'project_UKRI-141022-TotalExpenditureJune2022', 'project_UKRI-230522-TotalExpenditureMarch2022', 'project_UKRI-231121-TotalExpenditureOctober2021', 'project_UKRITotal-Expenditure-February-2022']",Grant
7,"['Grant_UKRI-160222-TotalExpenditureDecember2021', 'Grant_UKRI-160222-TotalExpenditureDecember2021(1)', 'project_UKRI-160222-TotalExpenditureDecember2021', 'project_UKRI-160222-TotalExpenditureDecember2021(1)']",Grant
5,"['Grant_UKRI-210722-TotalExpenditureMay2022', 'Grant_UKRI-230522-TotalExpenditureApril2022', 'Grant_UKRI-25112022-Total-Expenditure-September-2022', 'project_UKRI-210722-TotalExpenditureMay2022', 'project_UKRI-230522-TotalExpenditureApril2022', 'project_UKRI-25112022-Total-Expenditure-September-2022']",Grant
4,"['Higher_Education_SGChart-11', 'Higher_Education_cwurData', 'Higher_Education_enrolment-pre-university-by-level-and-course', 'Higher_Education_graduate-employment-survey-ntu-nus-sit-smu-suss-sutd', 'Higher_Education_graduates-from-university-first-degree-courses-by-type-of-course', 'Higher_Education_school_and_country_table', 'Higher_Education_timesData', 'Higher_Education_universities-intake-enrolment-and-graduates-by-course', 'accident_causes-of-accidents-by-severity-of-injury-sustained', 'actor_Actor data', 'game_PS4_GamesSales', 'game_XboxOne_GameSales', 'restaurant_one-star-michelin-restaurants', 'restaurant_two-stars-michelin-restaurants']",Higher_Education
13,"['Higher_Education_UKtable-54', 'Higher_Education_UKtable-55', 'Higher_Education_UKtable-56']",Higher_Education
8,"['Higher_Education_US_City_University_of_New_York__CUNY__University_Campus_Locations', 'incident_Wildlife_incident_locations', 'restaurant_chipotle_stores', 'restaurant_michelin_my_maps', 'restaurant_restaurants']",restaurant
3,"['actor_ShahRukh_Khan', 'actor_alpacino', 'actor_bradpitt', 'actor_deniro', 'actor_tomhanks']",actor
6,"['game_Cleaned Data 2', 'game_Raw Data', 'game_Tagged-Data-Final', 'game_Video_Game_Sales_as_of_Jan_2017', 'game_Video_Games', 'game_Video_Games_Sales_as_at_22_Dec_2016']",game
9,"['game_List of best-selling video games', 'movie_boxoffice', 'movie_boxoffice_august_2019', 'movie_boxoffice_march_2019', 'song_charts']",movie
11,"['game_vgsales', 'game_vgsales 2', 'game_vgsales 3']",game
12,"['incident_2019-08-22-mfs-data-fire-service-incidents', 'incident_2020-08-05-mfs-data-fire-service-incidents-a1364792', 'incident_2021-07-16-mfs-data-fire-service-incidents-a1573109', 'incident_2022-08-09-mfs-data-fire-service-incidents-a1846540']",incident
10,"['movie_df_complete', 'song_data 2', 'song_genres_v2', 'song_song_data']",song
