cluster number,tables,label
2,"['10151359_0_8168779773862259178', '10630177_0_4831842476649004753', '11688006_0_8123036130090004213', '12193237_0_8699643798888088574', '13357355_0_5384862281417742530', '13719111_1_5719401842463579519', '14067031_0_559833072073397908', '1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10', '14380604_4_3329235705746762392', '1614988_0_8789868670151796042', '21245481_0_8730460088443117515', '21333456_2_1886495893795687264', '21337553_0_8832378999628437599', '22987653_0_7774852112768859306', '24417511_0_3058323105166963431', '24859353_0_7027810986004269522', '26270372_1_3774607938887520564', '28036255_0_5705563063166785494', '28154036_0_909001972154294543', '28494901_6_7026744149694237309', '29857217_0_961038783966485949', '30166286_0_1837439231599898748', '33401079_0_9127583903019856402', '37541068_1_1156932518917623732', '37815699_0_8391788584341609964', '37856682_0_6818907050314633217', '38390205_1_8150763005563658139', '38732532_0_1420803645394505878', '3887681_0_7938589465814037992', '3962429_0_3452614694863053249', '39759273_0_1427898308030295194', '40534006_0_4617468856744635526', '40844462_1_6230938203735169234', '43226272_0_5995103035300388365', '43237185_1_3636357855502246981', '44206774_0_3810538885942465703', '45593932_0_6869375743660252130', '47709681_0_4437772923903322343', '50245608_0_871275842592178099', '50270082_0_444360818941411589', '51130304_0_3035822254995425429', '53583534_0_503521622577229691', '53822652_0_5767892317858575530', '53989675_0_8697482470743954630', '54112392_0_160015365721559357', '54719588_0_8417197176086756912', '63389809_0_8179819543692215824', '66009064_0_9148652238372261251', '68442591_0_8506821153001360777', '6869358_0_1379459120563510331', '69381058_0_984708047398578866', '72017594_0_7055198579167316152', '73988811_0_2775758476756716904', '76275868_0_4528346580716713695', '76836443_2_249332777049648171', '78005071_0_8643954006825971723', '80184932_0_4240003884724905487', '84575189_0_6365692015941409487', '8468806_0_4382447409703007384', '86627271_6_2239821927452848323', '88732174_0_7321365014357502211', '90325533_0_6668263142989366843', '9206866_1_8114610355671172497', '93702496_0_39013305210829591', '9475172_1_1023126399856690702', '98458255_0_5873264818593370400']",Scientist
25,"['10579449_0_1681126353774891032', '80588006_0_6965325215443683359', '9567241_0_5666388268510912770']",Newspaper
17,"['11278409_0_3742771475298785475', '28423212_0_2742990779532526553', '90723763_0_874013697986950454']",Company
38,"['1146722_1_7558140036342906956', '18422942_0_3659164506677528063', '22864497_0_8632623712684511496', '24142265_0_4577466141408796359', '46671561_0_6122315295162029872', '48944826_0_2321751364268052533', '57938705_0_8737506792349461963', '91959037_0_7907661684242014480']",VideoGame
9,"['11599512_1_280388135214354946', '1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2', '19272019_0_1508498249156534553', '28646774_0_3256889721737611537', '45533669_1_7463037039059239824', '89511064_0_2199624509082573904']",Country
32,"['11833461_1_3811022039809817402', '66329615_0_3585856495110277641', '75367212_2_2745466355267233390']",VideoGame
15,"['12125836_0_1134348206297032434', '46646666_0_5802598112171303204', '51741865_0_9203644246202164492']",RadioStation
11,"['12151277_0_1262954734066545952', '16949304_0_2573050770332101882', '32460905_0_5195150472060854231', '32812626_0_5428724146873158593']",Hospital
19,"['12183399_0_6725061928072492226', '41648740_0_6959523681065295632', '78650283_0_5937576517849452289']",Country
22,"['12271141_0_8517913935669973086', '64092785_0_4696367782987533337', '96203994_0_2127964719640427252']",Company
31,"['12746760_0_6703465836620308483', '39606331_0_1646213676302448706', '44005578_0_5400481538370055338']",PoliticalParty
0,"['13395751_3_369722706637560735', '1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2', '41819807_0_3139249984404131679', '55027702_0_628532586316851176', '71840765_0_6664391841933033844', '93078729_0_1451251196788678526', '98929678_0_3700213490979945526']",Lake
28,"['14311244_0_7604843865524657408', '49801939_0_6964113429298874283']",Mountain
7,"['1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5', '19073331_0_2742992342272078110', '33242247_1_7232384061498591611', '5972322_0_3150366936082777235']",Election
12,"['15700884_0_8204220284166767221', '28079336_2_2139598421036200532', '52572391_0_8684896999787304275']",Company
5,"['16767252_0_2409448375013995751', '20135078_0_7570343137119682530', '69881946_0_1105130426898457358', '84548468_0_5955155464119382182']",Film
34,"['19361188_0_1640726405141876003', '25933880_0_4058554985574416690', '88353875_0_4876234304797064286', '90593344_0_8311455501234425088']",Mountain
35,"['19654359_0_3020273135042459469', '21585935_0_294037497010176843', '74718406_0_3914457597478137388', '7929299_0_3253718003116029649', '9686394_0_5980699488362107028']",Airport
14,"['2066887_0_746204117268168398', '21801207_0_8144839668470123042', '27466715_0_3913547177671701530', '29021592_3_2299138476894681059', '29021592_4_4348860179678308511', '30645756_0_2413317245475669227', '41839679_0_3009344178474568371', '4730513_0_8573199053866072336', '64207896_0_3206705146602325658']",Monarch
8,"['21329809_0_5526008408364682899', '34899692_0_6530393048033763438', '54773498_0_4341462266113591159', '75154185_0_1607627349983289012', '77632062_0_2292892375652659825', '91474256_0_964747655387573523']",City
36,"['21362676_0_6854186738074119688', '35188621_0_6058553107571275232', '38428277_0_1311643810102462607', '77694908_0_6083291340991074532']",Film
1,"['24036779_0_5608105867560183058', '24850757_0_5978004733768297283', '52299421_0_4473286348258170200', '64734047_0_5880705307495695536', '67865873_0_8259587610208037357', '8009320_0_5507755752653817624', '86297395_0_6919201319699354263']",Country
37,"['25404227_0_2240631045609013057', '39173938_0_7916056990138658530', '58891288_0_1117541047012405958']",Film
21,"['26310680_0_5150772059999313798', '49087820_0_461228320225084868', '55961337_0_6548713781034932742', '61069974_0_1894536874590565102', '97941125_0_8220652154649529701']",Currency
23,"['28079336_1_3124145965038277571', '39650055_5_7135804139753401681', '41336118_0_4331895026409635103', '56224555_0_3713922722778385817']",Company
29,"['28086084_0_3127660530989916727', '41480166_0_6681239260286218499', '49772588_0_6549847739640234347']",Saint
41,"['28993628_1_6072768612274729703', '3389822_6_374624044314151266', '36039980_4_4283009829602711082']",Mountain
40,"['29412826_0_3422707769191426540', '9834884_0_3871985887467090123']",Museum
16,"['29414811_12_251152470253168163', '29414811_13_8724394428539174350', '29414811_2_4773219892816395776', '29414811_6_8221428333921653560', '36102169_0_7739454799295072814']",VideoGame
24,"['29886325_0_1448173912684571475', '4444204_0_951426790527152756', '70404164_0_5498195978476333642']",City
20,"['32051842_5_1757891723986774036', '52208141_2_5171684379987586712', '61753761_9_4735181228515289890', '64499281_8_7181683886563136802']",Museum
18,"['33167985_0_5220049369716352813', '62564020_0_3836030043284699244', '70515524_0_5425995199745290007', '79966524_0_1484492112455633784', '88523363_0_8180214313099580515', '98312357_0_6395417306876145729', '99070098_0_2074872741302696997']",Animal
