table name,result label,true label
10151359_0_8168779773862259178.csv,VideoGame,Book
73988811_0_2775758476756716904.csv,VideoGame,Film
9475172_1_1023126399856690702.csv,VideoGame,TelevisionShow
21801207_0_8144839668470123042.csv,Newspaper,VideoGame
22987653_0_7774852112768859306.csv,Building,Scientist
3887681_0_7938589465814037992.csv,Building,Lake
4501311_8_8306082458935575308.csv,Company,VideoGame
45073662_0_3179937335063201739.csv,Company,BaseballPlayer
73242003_5_4847571983313033360.csv,Company,VideoGame
1146722_1_7558140036342906956.csv,Lake,Mountain
12151277_0_1262954734066545952.csv,Lake,Hospital
13719111_1_5719401842463579519.csv,Lake,Bird
1614988_0_8789868670151796042.csv,Lake,Scientist
21333456_2_1886495893795687264.csv,Lake,Scientist
21337553_0_8832378999628437599.csv,Lake,Mountain
24142265_0_4577466141408796359.csv,Lake,VideoGame
25933880_0_4058554985574416690.csv,Lake,Wrestler
26270372_1_3774607938887520564.csv,Lake,Monarch
27466715_0_3913547177671701530.csv,Lake,VideoGame
28494901_6_7026744149694237309.csv,Lake,Scientist
32812626_0_5428724146873158593.csv,Lake,Hospital
33401079_0_9127583903019856402.csv,Lake,Person
34899692_0_6530393048033763438.csv,Lake,Country
36102169_0_7739454799295072814.csv,Lake,VideoGame
37541068_1_1156932518917623732.csv,Lake,BaseballPlayer
37856682_0_6818907050314633217.csv,Lake,AdministrativeRegion
46671561_0_6122315295162029872.csv,Lake,VideoGame
48805028_0_8933391169600128370.csv,Lake,Bird
51130304_0_3035822254995425429.csv,Lake,Monarch
54773498_0_4341462266113591159.csv,Lake,Building
60319454_0_3938426910282115527.csv,Lake,Animal
75154185_0_1607627349983289012.csv,Lake,City
78005071_0_8643954006825971723.csv,Lake,PoliticalParty
84575189_0_6365692015941409487.csv,Lake,AcademicJournal
90325533_0_6668263142989366843.csv,Lake,Hospital
98458255_0_5873264818593370400.csv,Lake,AcademicJournal
28086084_0_3127660530989916727.csv,Country,Saint
41480166_0_6681239260286218499.csv,Country,Saint
78650283_0_5937576517849452289.csv,Country,Currency
24859353_0_7027810986004269522.csv,Country,Currency
28646774_0_3256889721737611537.csv,Country,PoliticalParty
39606331_0_1646213676302448706.csv,Country,PoliticalParty
40844462_1_6230938203735169234.csv,Country,Film
43237185_1_3636357855502246981.csv,Country,Scientist
44005578_0_5400481538370055338.csv,Country,PoliticalParty
4730513_0_8573199053866072336.csv,Country,Scientist
91959037_0_7907661684242014480.csv,Country,VideoGame
1438042989043_35_20150728002309-00287-ip-10-236-191-2_875026214_2.csv,RadioStation,mountain
3962429_0_3452614694863053249.csv,RadioStation,Hotel
90593344_0_8311455501234425088.csv,RadioStation,Mountain
64734047_0_5880705307495695536.csv,Country,Hospital
12746760_0_6703465836620308483.csv,Monarch,PoliticalParty
38390205_1_8150763005563658139.csv,Monarch,Hospital
68442591_0_8506821153001360777.csv,Monarch,Hospital
13357355_0_5384862281417742530.csv,Lake,FictionalCharacter
1438042986423_95_20150728002306-00329-ip-10-236-191-2_805336391_10.csv,Lake,swimmer
18422942_0_3659164506677528063.csv,Lake,Work
40534006_0_4617468856744635526.csv,Lake,Wrestler
61626303_0_266372209664087642.csv,Lake,RadioStation
68779923_2_1000046510804975562.csv,Lake,Country
70515524_0_5425995199745290007.csv,Lake,Monarch
88353875_0_4876234304797064286.csv,Lake,Mountain
98312357_0_6395417306876145729.csv,Lake,Monarch
99070098_0_2074872741302696997.csv,Lake,Mountain
1438042986423_95_20150728002306-00125-ip-10-236-191-2_88435628_5.csv,Election,Political Party
28154036_0_909001972154294543.csv,Election,PoliticalParty
1438042989018_40_20150728002309-00067-ip-10-236-191-2_57714692_2.csv,Airline,cricketer
19272019_0_1508498249156534553.csv,Airline,University
45533669_1_7463037039059239824.csv,Airline,RadioStation
48944826_0_2321751364268052533.csv,Airline,VideoGame
29414811_12_251152470253168163.csv,Film,VideoGame
19361188_0_1640726405141876003.csv,Company,Mountain
29412826_0_3422707769191426540.csv,Airport,Museum
30645756_0_2413317245475669227.csv,Saint,PoliticalParty
41839679_0_3009344178474568371.csv,Saint,Monarch
43226272_0_5995103035300388365.csv,Saint,Hospital
76836443_2_249332777049648171.csv,Saint,Scientist
9834884_0_3871985887467090123.csv,City,Museum
30166286_0_1837439231599898748.csv,Film,Scientist
88732174_0_7321365014357502211.csv,Film,BaseballPlayer
29414811_13_8724394428539174350.csv,BaseballPlayer,VideoGame
45593932_0_6869375743660252130.csv,BaseballPlayer,Scientist
29857217_0_961038783966485949.csv,Country,Newspaper
69381058_0_984708047398578866.csv,Country,Mountain
92896255_0_4593968708343548527.csv,Country,Plant
37815699_0_8391788584341609964.csv,Film,Person
39107734_2_2329160387535788734.csv,Film,Airport
69537082_0_7789694313271016902.csv,Film,Country
44206774_0_3810538885942465703.csv,VideoGame,GolfPlayer
50245608_0_871275842592178099.csv,VideoGame,Film
53822652_0_5767892317858575530.csv,VideoGame,Film
54719588_0_8417197176086756912.csv,VideoGame,Film
33167985_0_5220049369716352813.csv,Animal,Mammal
71137051_0_8039724067857124984.csv,Animal,Bird
72017594_0_7055198579167316152.csv,Animal,Museum
88523363_0_8180214313099580515.csv,Animal,Plant
50270082_0_444360818941411589.csv,Airport,BaseballPlayer
93702496_0_39013305210829591.csv,Airport,Company
6869358_0_1379459120563510331.csv,Company,Novel
39759273_0_1427898308030295194.csv,VideoGame,Film
66009064_0_9148652238372261251.csv,VideoGame,BaseballPlayer
63450419_0_8012592961815711786.csv,Bird,Plant
